"Name","googleScholarId","title","author","journal","number","cites","year","cid","pubid"
"Alison E. Post","1bzrc6QAAAAJ","Hybrid Regimes for Local Public Goods Provision","AE Post, V Bronsoler, L Salman","Perspectives On Politics","15 (4), 952-966",52,2017,7677836497655639040,"KlAtU1dfN6UC"
"Alison E. Post","1bzrc6QAAAAJ","Cities and politics in the developing world","AE Post","Annual Review Of Political Science","21, 115-133",51,2018,5975766036583230464,"M3ejUd6NZC8C"
"Alison E. Post","1bzrc6QAAAAJ","State, society, and informality in cities of the Global South","AM Auerbach, A LeBas, AE Post, R Weitz-Shapiro","Studies In Comparative International Development","53 (3), 261-280",41,2018,18357872912028672000,"4DMP91E08xMC"
"Alison E. Post","1bzrc6QAAAAJ","Flows, leaks and blockages in informational interventions: A field experimental study of Bangalore's water sector","T Kumar, AE Post, I Ray","World Development","106, 149-160",32,2018,5.99448964875969e+38,"_kc_bZDykSQC"
"Alison E. Post","1bzrc6QAAAAJ","Blame avoidance and policy stability in developing democracies: The politics of public security in Buenos Aires","H Flom, AE Post","Comparative Politics","49 (1), 23-46",30,2016,2010086079007780352,"UebtZRa9Y70C"
"Alison E. Post","1bzrc6QAAAAJ","Policy traps: Consumer subsidies in post-crisis Argentina","T Bril-Mascarenhas, AE Post","Studies In Comparative International Development","50 (1), 98-120",30,2015,4.30089340697791e+38,"UeHWp8X0CEIC"
"Alison E. Post","1bzrc6QAAAAJ","Frontline worker compliance with transparency reforms: Barriers posed by family and financial responsibilities","C Hyun, AE Post, I Ray","Governance","31 (1), 65-83",24,2018,17534446654437283840,"8k81kl-MbHgC"
"Alison E. Post","1bzrc6QAAAAJ","Liquid assets and fluid contracts: Explaining the uneven effects of water and sanitation privatization","AE Post","Harvard University Press",NA,15,2009,1.7823462905418e+19,"u5HHmVD_uO8C"
"Alison E. Post","1bzrc6QAAAAJ","How investor portfolios shape regulatory outcomes: Privatized infrastructure after crises","AE Post, MV Murillo","World Development","77, 328-345",11,2016,1.32703629058049e+37,"WF5omc3nYNoC"
"Alison E. Post","1bzrc6QAAAAJ","Home court advantage: investor type and contractual resilience in the Argentine water sector","AE Post","Politics And Society","42 (1), 107-132",11,2014,6154114221742887936,"9yKSN-GCB0IC"
"Alison E. Post","1bzrc6QAAAAJ","The regulatory state under stress: economic shocks and regulatory bargaining in the Argentine electricity and water sectors","A Post, MV Murillo","The Rise Of The Regulatory State Of The South: Infrastructure And …",NA,9,2013,4231160435319139840,"qjMakFHDy7sC"
"Alison E. Post","1bzrc6QAAAAJ","Pathways for redistribution: privatisation, regulation and incentives for pro-poor investment in the Argentine water sector","AE Post","International Journal Of Public Policy","4 (1-2), 51-75",7,2009,11416025216695734272,"2osOgNQ5qMEC"
"Alison E. Post","1bzrc6QAAAAJ","Using crowd-sourced data to study public services: Lessons from Urban India","AE Post, A Agnihotri, C Hyun","Studies In Comparative International Development","53 (3), 324-342",6,2018,1662100006097978368,"Wp0gIr-vW9MC"
"Alison E. Post","1bzrc6QAAAAJ","Hybrid modes of urban water delivery in low-and middle-income countries","A Post, I Ray","Oxford Research Encyclopedia Of Environmental Science",NA,5,2020,4569903491407327232,"R3hNpaxXUhUC"
"Alison E. Post","1bzrc6QAAAAJ","The Paradoxical Politics of Water Metering in Argentina","AE Post","Poverty In Focus","18, 16-18",5,2009,6204621470664224768,"0EnyYjriUFMC"
"Alison E. Post","1bzrc6QAAAAJ","From public service access to service quality: The distributive politics of piped water in Bangalore","T Kumar, AE Post, I Ray, M Otsuka, F Pardo-Bosch","World Development","151, 105736",4,2022,4.2707246165289e+36,"TQgYirikUcIC"
"Alison E. Post","1bzrc6QAAAAJ",""" POLICY TRAPS"" Y SUBSIDIOS AL CONSUMO: LA POLÍTICA DE TARIFAS DE SERVICIOS PÚBLICOS EN ARGENTINA, 2002-2014","TB MASCARENHAS, AE Post","Desarrollo Económico","171-202",4,2014,9143927114055186432,"Y0pCki6q_DkC"
"Alison E. Post","1bzrc6QAAAAJ","The Politics of “Contracting Out” to the Private Sector","AE Post","The Politics Of Non-State Social Welfare","77",4,2014,15669647565074114560,"_FxGoFyzp5QC"
"Alison E. Post","1bzrc6QAAAAJ","The Politics of Non-state Social Welfare","S Allard, JN Brass, M Cammett, L Cook, I Gough, M Jennings, A Krishna, ...","Cornell University Press",NA,2,2014,2563011385798352384,"mVmsd5A6BfQC"
"Alison E. Post","1bzrc6QAAAAJ","The Case for Public Policy Expertise in Political Science","V Herrera, AE Post","Ps: Political Science And Politics","52 (3), 476-480",1,2019,8557776489777690624,"dhFuZR0502QC"
"Alison E. Post","1bzrc6QAAAAJ","Decentralization and Urban Governance in the Developing World","CL Carter, AE Post","Decentralized Governance And Accountability: Academic Research And The …",NA,1,2019,7565028790077800448,"9ZlFYXVOiuMC"
"Amy E Lerman","BTTkhXwAAAAJ","Arresting citizenship","AE Lerman, VM Weaver","Arresting Citizenship",NA,530,2014,1683708705792328192,"5nxA0vEk-isC"
"Amy E Lerman","BTTkhXwAAAAJ","Political consequences of the carceral state","VM Weaver, AE Lerman","American Political Science Review","104 (4), 817-833",519,2010,18046527889530781696,"KlAtU1dfN6UC"
"Amy E Lerman","BTTkhXwAAAAJ","Testing Huntington: Is Hispanic immigration a threat to American identity?","J Citrin, A Lerman, M Murakami, K Pearson","Perspectives On Politics","5 (1), 31-48",218,2007,7155256476144600064,"ufrVoPGSRksC"
"Amy E Lerman","BTTkhXwAAAAJ","Staying out of sight? Concentrated policing and local political action","AE Lerman, V Weaver","The Annals Of The American Academy Of Political And Social Science","651 (1 …",174,2014,1.3486867315847e+19,"MXK_kJrjxJIC"
"Amy E Lerman","BTTkhXwAAAAJ","Personal experience and public opinion: a theory and test of conditional policy feedback","AE Lerman, KT McCabe","The Journal Of Politics","79 (2), 624-641",103,2017,18244488329145450496,"Zph67rFs4hoC"
"Amy E Lerman","BTTkhXwAAAAJ","Policy uptake as political behavior: Evidence from the Affordable Care Act","AE Lerman, ML Sadin, S Trachtman","American Political Science Review","111 (4), 755-770",90,2017,2288429409777529344,"9yKSN-GCB0IC"
"Amy E Lerman","BTTkhXwAAAAJ","The modern prison paradox: Politics, punishment, and social community","AE Lerman","Cambridge University Press",NA,88,2013,3586882449695052288,"UeHWp8X0CEIC"
"Amy E Lerman","BTTkhXwAAAAJ","The state of the job: An embedded work role perspective on prison officer attitudes","AE Lerman, J Page","Punishment And Society","14 (5), 503-529",74,2012,5217043101531679744,"YsMSGLbcyi4C"
"Amy E Lerman","BTTkhXwAAAAJ","The people prisons make: Effects of incarceration on criminal psychology","AE Lerman","Do Prisons Make Us Safer","151-176",56,2009,4009744071711971328,"zYLM7Y9cAGgC"
"Amy E Lerman","BTTkhXwAAAAJ","Stereotyping or projection? How white and black voters estimate black candidates' ideology","AE Lerman, ML Sadin","Political Psychology","37 (2), 147-163",42,2016,1.3078553978017e+19,"8k81kl-MbHgC"
"Amy E Lerman","BTTkhXwAAAAJ","Political ideology, skin tone, and the psychology of candidate evaluations","AE Lerman, KT McCabe, ML Sadin","Public Opinion Quarterly","79 (1), 53-90",30,2015,10875450535513143296,"0EnyYjriUFMC"
"Amy E Lerman","BTTkhXwAAAAJ","Good enough for government work: The public reputation crisis in America (and what we can do to fix it)","AE Lerman","University Of Chicago Press",NA,29,2019,3517092066241437696,"qjMakFHDy7sC"
"Amy E Lerman","BTTkhXwAAAAJ","Does the front line reflect the party line? The politicization of punishment and prison officers’ perspectives towards incarceration","AE Lerman, J Page","British Journal Of Criminology","56 (3), 578-601",16,2016,12815818138467878912,"eQOLeE2rZwMC"
"Amy E Lerman","BTTkhXwAAAAJ","Race and Crime in American Politics: From Law and Order to Willie Horton and Beyond","AE Lerman, VM Weaver, S Bucerius, M Tonry","Oxford Handbook Of Race, Ethnicity, Immigration, And Crime","41-69",12,2014,9544028524980561920,"UebtZRa9Y70C"
"Amy E Lerman","BTTkhXwAAAAJ","The Carceral State and American Political Development","AE Lerman, VM Weaver","The Oxford Handbook Of American Political Development",NA,12,2014,4506351134689135616,"Y0pCki6q_DkC"
"Amy E Lerman","BTTkhXwAAAAJ","Critical trialogue: The carceral state","M Gottschalk","Perspectives On Politics","13 (3), 798-801",10,2015,14307800979863519232,"kNdYIx-mwKoC"
"Amy E Lerman","BTTkhXwAAAAJ","Feedback effects and the criminal justice bureaucracy: Officer attitudes and the future of correctional reform","AE Lerman, J Harney","The Annals Of The American Academy Of Political And Social Science","685 (1 …",8,2019,4159413576876940800,"Tyk-4Ss8FVUC"
"Amy E Lerman","BTTkhXwAAAAJ","The Rights of the accused","AE Lerman","Sage","41-61",8,2008,7119844213009469440,"WF5omc3nYNoC"
"Amy E Lerman","BTTkhXwAAAAJ","United in States of dissatisfaction: Confirmation bias across the partisan divide","AE Lerman, D Acland","American Politics Research","48 (2), 227-237",7,2020,13731077050248247296,"u5HHmVD_uO8C"
"Amy E Lerman","BTTkhXwAAAAJ","Combating biased decisionmaking & promoting justice & equal treatment","S Sah, D Tannenbaum, H Cleary, Y Feldman, J Glaser, A Lerman, ...","Behavioral Science And Policy","2 (2), 78-87",5,2016,7444752197823270912,"_FxGoFyzp5QC"
"Amy E Lerman","BTTkhXwAAAAJ","A tradeoff between safety and democracy? An empirical investigation of prison violence and inmate self-governance","AE Lerman, VM Weaver","Democratic Theory And Mass Incarceration","238-265",3,2016,14101031113254656000,"blknAaTinKkC"
"Amy E Lerman","BTTkhXwAAAAJ","Prisons and mental health: Violence, organizational support, and the effects of correctional work","AE Lerman, J Harney, M Sadin","Criminal Justice And Behavior","49 (2), 181-199",2,2022,3656565473460307968,"maZDTaKrznsC"
"Amy E Lerman","BTTkhXwAAAAJ","Pleading for justice: bullpen therapy, pre-trial detention, and plea bargains in American courts","AE Lerman, AL Green, P Dominguez","Crime And Delinquency","68 (2), 159-182",2,2022,6137090858663415808,"_Qo2XoVZTnwC"
"Amy E Lerman","BTTkhXwAAAAJ","Good Enough for Government Work","AE Lerman","Good Enough For Government Work",NA,2,2019,186345704436608576,"TFP_iSt0sucC"
"Amy E Lerman","BTTkhXwAAAAJ","The State of the Job: An Embedded Work Role Perspective on Prison Officer Attitudes’(2012)","AE Lerman, J Page","Punishment And Society","14, 503, 50",2,NA,2359478759054274048,"4DMP91E08xMC"
"Amy E Lerman","BTTkhXwAAAAJ","The downside of downsizing: Persistence of racial disparities following state prison reform","AE Lerman, AC Mooney","Punishment And Society","14624745211006039",1,2021,4382023832788797440,"isC4tDSrTZIC"
"Amy E Lerman","BTTkhXwAAAAJ","Where Policies and Politics Diverge: Awareness, Assessments, and Attribution in The ACA","AE Lerman, S Trachtman","Public Opinion Quarterly","84 (2), 419-445",1,2020,3031666540831692800,"IWHjjKOFINEC"
"Amy E Lerman","BTTkhXwAAAAJ","Reading Wacquant as both ‘lumper’and ‘splitter’","AE Lerman","Ethnic And Racial Studies","37 (10), 1739-1746",1,2014,3735740051816428032,"IjCSPb-OGe4C"
"Amy E Lerman","BTTkhXwAAAAJ","Clarifying the role of officer coping on turnover in corrections","J Harney, AE Lerman","Criminal Justice Studies","34 (4), 397-422",0,2021,NA,"JV2RwH3_ST0C"
"Andrew Little","1n3IoT0AAAAJ","Communication Technology and Protest","AT Little","The Journal Of Politics","78 (1), 152-166",178,2016,9280722794317699072,"geHnlv5EZngC"
"Andrew Little","1n3IoT0AAAAJ","Elections, Fraud, and Election Monitoring in the Shadow of Revolution","AT Little","Quarterly Journal Of Political Science","7 (3), 249-283",134,2012,685430770856770688,"u5HHmVD_uO8C"
"Andrew Little","1n3IoT0AAAAJ","Propaganda and credulity","AT Little","Games And Economic Behavior","102, 224-232",92,2017,15309195413597253632,"eJXPG6dFmWUC"
"Andrew Little","1n3IoT0AAAAJ","Elections, Protest, and Alternation of Power","AT Little, JA Tucker, T LaGatta","The Journal Of Politics","77 (4), 1142-1156",77,2015,8042187857940315136,"qjMakFHDy7sC"
"Andrew Little","1n3IoT0AAAAJ","Political corruption traps","M Klašnja, AT Little, JA Tucker","Political Science Research And Methods","6 (3), 413-428",53,2018,6481959421033738240,"1qzjygNMrQYC"
"Andrew Little","1n3IoT0AAAAJ","Are non-competitive elections good for citizens?","AT Little","Journal Of Theoretical Politics","29 (2), 214-242",50,2017,2.89755261445377e+57,"mvPsJ3kp5DgC"
"Andrew Little","1n3IoT0AAAAJ","The political violence cycle","SP Harish, AT Little","American Political Science Review","111 (2), 237-255",49,2017,7.68286264400431e+38,"5Ul4iDaHHb8C"
"Andrew Little","1n3IoT0AAAAJ","Fraud and Monitoring in Non-competitive Elections","AT Little","Political Science Research And Methods","3 (1), 21-41",47,2015,1.12054941008396e+39,"d1gkVwhDpl0C"
"Andrew Little","1n3IoT0AAAAJ","Coordination, Learning, and Coups","AT Little","Journal Of Conflict Resolution","61 (1), 204-234",45,2017,2895745483898970112,"BrmTIyaxlBUC"
"Andrew Little","1n3IoT0AAAAJ","The distortion of related beliefs","AT Little","American Journal Of Political Science","63 (3), 675-689",27,2019,8953777734290665472,"5ugPr518TE4C"
"Andrew Little","1n3IoT0AAAAJ","A bargaining theory of conflict with evolutionary preferences","AT Little, T Zeitzoff","International Organization","71 (3), 523-557",25,2017,1.64327282473727e+39,"q3oQSFYPqjQC"
"Andrew Little","1n3IoT0AAAAJ","I Don't Know","M Backus, A Little","American Political Science Review",NA,12,2018,7739681259879272448,"V3AGJWp-ZtQC"
"Andrew Little","1n3IoT0AAAAJ","Simple and Formal Models in Comparative Politics","AT Little, TB Pepinsky","Chinese Political Science Review","1 (3), 425-447",9,2016,3108756788681089024,"D_sINldO8mEC"
"Andrew Little","1n3IoT0AAAAJ","Learning from biased research designs","AT Little, TB Pepinsky","The Journal Of Politics","83 (2), 602-616",8,2021,12945056428109821952,"J-pR_7NvFogC"
"Andrew Little","1n3IoT0AAAAJ","Motivated reasoning and democratic accountability","AT Little, KE Schnakenberg, IR Turner","American Political Science Review","1-17",7,2020,1.7550169119878e+19,"t6usbXjVLHcC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Irrelevant Events Affect Voters' Evaluations of Government Performance","AJ Healy, N Malhotra, CH Mo","PNAS","107 (29), 12804-12809",485,2010,1.46573743156604e+37,"u5HHmVD_uO8C"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Economic Explanations for Opposition to Immigration: Distinguishing Between Prevalence and Conditional Impact","N Malhotra, Y Margalit, CH Mo","American Journal Of Political Science","57 (2), 391-410",420,2013,7.0738473711045e+36,"u-x6o8ySG0sC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","The Consequences of Explicit and Implicit Gender Attitudes and Candidate Quality in the Calculations of Voters","CH Mo","Political Behavior","37 (2), 357-395",145,2015,8.45231137666639e+36,"2osOgNQ5qMEC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Social Exclusion and Political Identity: The Case of Asian American Partisanship","A Kuo, N Malhotra, CH Mo","The Journal Of Politics","79 (1), 17-32",88,2017,7.72098885357585e+57,"IWHjjKOFINEC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Aspirations and the Role of Social Protection: Evidence from a Natural Disaster in Rural Pakistan","K Kosec, CH Mo","World Development",NA,84,2017,3904204975996370432,"r0BpntZqJG4C"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Perceptions of Health Risks of Cigarette Smoking: A New Measure Reveals Widespread Misunderstanding","JA Krosnick, N Malhotra, CH Mo, EF Bruera, LC Chang, J Pasek, ...","Plos One","12 (8), e0182063",52,2017,1.27924913964919e+37,"-f6ydRqryjwC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","When Do the Advantaged See the Disadvantages of Others? A Quasi-Experimental Study of National Service","CH Mo, KM Conn","American Political Science Review","112 (4), 721-741",42,2018,17761813769142276096,"hFOr9nPyWt4C"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Perceived Relative Deprivation and Risk: An Aspiration-Based Model of Human Trafficking Vulnerability","CH Mo","Political Behavior","1-31",32,2016,8.50782004428308e+38,"ZeXyd9-uunAC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion","T Bonilla, CH Mo","Journal Of Public Policy","39 (2), 201-234",31,2019,968362442739663360,"bEWYMUwI8FkC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Economic Development, Mobility, and Political Discontent: An Experimental Test of Tocqueville’s Thesis in Pakistan","A Healy, K Kosec, CH Mo","American Political Science Review","111 (3), 605-621",19,2017,16757463966178205696,"L8Ckcad2t8MC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Determining False-Positives Requires Considering the Totality of Evidence","A Healy, N Malhotra, CH Mo","PNAS","112 (48), E6591-E6591",17,2015,3.12923354212803e+35,"5nxA0vEk-isC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Essays in Behavioral Political Economy: The Effects of Affect, Attitudes, and Aspirations","CHJ Mo","Stanford University",NA,12,2012,7728366186863142912,"0EnyYjriUFMC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","When Less is More in Boosting Survey Response Rates","KM Conn, CH Mo, LM Sellers","Social Science Quarterly","100 (4), 1445-1458",11,2019,11942637593577449472,"JV2RwH3_ST0C"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","The Voter’s Blunt Tool","TR Bowen, CH Mo","Journal Of Theoretical Politics","28 (4), 655-677",8,2016,10395010799164557312,"7PzlFSSx8tAC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Bridging the Partisan Divide on Immigration Policy Attitudes through a Bipartisan Issue Area: The Case of Human Trafficking","T Bonilla, CH Mo","Journal Of Experimental Political Science","5 (2), 107-120",7,2018,3329059336621820928,"TFP_iSt0sucC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","How Teach for America Affects Beliefs about Education: Connecting Classroom Experience to Opinions on Education Reform.","KM Conn, VS Lovison, CH Mo","Education Next","20 (1), 58-66",6,2020,8791152646718939136,"ldfaerwXgEUC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Why Asian Americans Don’t Vote Republican","CH Mo","The Washington Post, November","2",6,2015,17249691375055867904,"TQgYirikUcIC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Perceptions of relative deprivation and women’s empowerment","K Kosec, CH Mo, E Schmidt, J Song","World Development","138, 105218",5,2021,900865624437265920,"rO6llkc54NcC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Youth National Service and Women's Political Ambition: The Case of Teach For America","CH Mo, KM Conn, G Anderson-Nilsson","Politics, Groups, And Identities","7 (4), 864-877",3,2019,3835880589668833280,"vV6vV6tmYwMC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","How do perceptions of relative poverty affect women's empowerment? Evidence from Papua New Guinea","K Kosec, CH Mo, E Schmidt, J Song","Intl Food Policy Res Inst",NA,2,2019,4169786388609177088,"M05iB0D1s5AC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","The Dubai Ports Controversy","CH Mo","Stanford Graduate School Of Business, Case Gs-","-73",2,2009,1608605292615916032,"hMod-77fHWUC"
"Cecilia Hyunjung Mo","VKW9xscAAAAJ","Correction: Perceptions of health risks of cigarette smoking: A new measure reveals widespread misunderstanding","JA Krosnick, N Malhotra, CH Mo, EF Bruera, LC Chang, J Pasek, ...","Plos One","14 (2), e0212705",1,2019,14170458920725719040,"k_IJM867U9cC"
"Daniela Cammack","ev6k-gIAAAAJ","Aristotle on the Virtue of the Multitude","D Cammack","Political Theory","41 (2), 175-202",79,2013,13745022303906908160,"u5HHmVD_uO8C"
"Daniela Cammack","ev6k-gIAAAAJ","Rethinking Athenian Democracy","DL Cammack","Harvard University Press",NA,25,2013,3137680864583377920,"u-x6o8ySG0sC"
"Daniela Cammack","ev6k-gIAAAAJ","The Dēmos in Dēmokratia","D Cammack","The Classical Quarterly","69 (1), 42-61",20,2019,3586378117257895936,"LkGwnXOMwfcC"
"Daniela Cammack","ev6k-gIAAAAJ","Aristotle’s Denial of Deliberation about Ends","D Cammack","Polis: The Journal For Ancient Greek And Roman Political Thought","30 (2), 228-250",19,2013,10276609465718685696,"2osOgNQ5qMEC"
"Daniela Cammack","ev6k-gIAAAAJ","Plato and Athenian Justice","D Cammack","History Of Political Thought","36 (4), 611-642",12,2015,12088765871539093504,"qjMakFHDy7sC"
"Daniela Cammack","ev6k-gIAAAAJ","Deliberation and Discussion in Classical Athens","D Cammack","The Journal Of Political Philosophy","10.1111/jopp.12215",6,2020,9882062073214345216,"Se3iqnhoufwC"
"Daniela Cammack","ev6k-gIAAAAJ","Deliberation in Ancient Greek Assemblies","D Cammack","Classical Philology","115, 486-522",6,2020,7026332206233624576,"_FxGoFyzp5QC"
"Daniela Cammack","ev6k-gIAAAAJ","Were the Ancient Greeks Epistemic Democrats?","D Cammack","University of Michigan Press","9-38 …",2,2020,14799689678374725632,"IjCSPb-OGe4C"
"David E. Broockman","Ifl1VQEAAAAJ","Do politicians racially discriminate against constituents? A field experiment on state legislators","DM Butler, DE Broockman","American Journal Of Political Science","55 (3), 463-477",534,2011,1.07562511877905e+38,"u5HHmVD_uO8C"
"David E. Broockman","Ifl1VQEAAAAJ","Durably reducing transphobia: A field experiment on door-to-door canvassing","D Broockman, J Kalla","Science","352 (6282), 220-224",506,2016,1.2983189477505e+19,"R-LXmdHK_14C"
"David E. Broockman","Ifl1VQEAAAAJ","Campaign contributions facilitate access to congressional officials: A randomized field experiment","JL Kalla, DE Broockman","American Journal Of Political Science","60 (3), 545-558",314,2016,1.3892609713918e+57,"yY3RG6sOEgwC"
"David E. Broockman","Ifl1VQEAAAAJ","The minimal persuasive effects of campaign contact in general elections: Evidence from 49 field experiments","JL Kalla, DE Broockman","American Political Science Review","112 (1), 148-166",300,2018,12283215455452362752,"Azgs6IHzeyYC"
"David E. Broockman","Ifl1VQEAAAAJ","Bias in perceptions of public opinion among political elites","DE Broockman, C Skovron","American Political Science Review","112 (3), 542-563",287,2018,8.22329899425896e+75,"tz746QTLzJkC"
"David E. Broockman","Ifl1VQEAAAAJ","Black Politicians Are More Intrinsically Motivated To Advance Blacks’ Interests: A Field Experiment Manipulating Political Incentives","DE Broockman","American Journal Of Political Science",NA,284,2013,4.93865512497887e+37,"WF5omc3nYNoC"
"David E. Broockman","Ifl1VQEAAAAJ","The causal effects of elite position‐taking on voter attitudes: Field experiments with elite communication","DE Broockman, DM Butler","American Journal Of Political Science","61 (1), 208-221",207,2017,1.18512020045799e+38,"m4fbC6XIj1kC"
"David E. Broockman","Ifl1VQEAAAAJ","Approaches to studying policy representation","DE Broockman","Legislative Studies Quarterly","41 (1), 181-215",179,2016,1.10143792951236e+95,"naSTrk-c4S8C"
